id,Listing name,Business,Type,Address,Phone,Website,Suggested category,Notes,lat,lng,Geocoder,In Irving
texas-mercy-clinic,Texas Mercy Clinic,"Texas Mercy Clinic (Dr. Lance Hoover, MD)",Catholic doctor / pain & headache / urgent care,"4950 N O'Connor Rd, Ste 203, Irving, TX 75062",(469) 984-0311,,owned,"CSV rows: Catholic Doctor, Doctor, Urgent Care (3 rows, 1 business). Rec. by Dunikoski, Omvig, Rohter, Herrera, Dougherty.",32.866037,-96.946519,census,yes
dr-neville-fernandes,"Dr. Neville Fernandes, MD","Dr. Neville Fernandes, MD",Gastroenterologist,"6750 N MacArthur Blvd, Ste 207, Irving, TX 75039",(972) 637-8480,tddctx.com,owned,Texas Digestive Disease Consultants / GI Alliance. Attends St. Ann.,32.901091,-96.958625,census,yes
ohlenforst-ward-orthodontics,Ohlenforst & Ward Orthodontics,Ohlenforst & Ward Orthodontics,Orthodontist,"3200 N O'Connor Rd, Irving, TX 75062",(972) 257-3200,irvingorthodontist.com,owned,Dr. Patrick M. Ohlenforst. Irving Chamber member; confirmed active 2026.,32.84781,-96.950309,census,yes
dallas-pelvic-health,Dallas Pelvic Health,Dallas Pelvic Health,Pelvic floor physical therapy,"114 E John Carpenter Fwy, Ste 130, Irving, TX 75062",(469) 476-0915,dallaspelvichealthllc.com,owned,"Dr. Chelsea Harkins, PT, DPT. CSV lists 832-964-4738.",32.866718,-96.943907,census,yes
neuro-integration-services,Neuro Integration Services,Neuro Integration Services,NIS therapy,"511 E John W Carpenter Fwy, Ste 500, Irving, TX 75062",(361) 648-7767,neurointegrationservices.com,owned,"Eileen Kainer. Irving Chamber member. Same address as Beatitudes / SVdP already in directory-data.js (32.884692, -96.949608).",32.860427,-96.935325,census,yes
james-sears-massage,James Sears Massage,James Sears Massage,Massage therapy,"105 W 2nd St, Irving, TX 75060",(214) 907-5009,massageindfw.com,owned,By appointment. Licensed 17+ years. Many ICON recommendations.,32.81289,-96.946313,census,yes
klassen-plumbing,Klassen Plumbing (John Klassen Co.),John Klassen Co. (Klassen Plumbing),Plumber,"118 S Main St, Irving, TX 75060",(972) 259-9600,,owned,Downtown Irving plumbing shop.,32.813612,-96.946118,census,yes
rohter-and-company,Rohter & Company,Rohter & Company,Real estate brokerage,"511 E John Carpenter Fwy, Ste 500, Irving, TX 75062",(972) 214-8756,homesofirving.com,owned,"ICON contact: Inez Hannegan. Same address as Beatitudes / SVdP already in directory-data.js (32.884692, -96.949608).",32.85886,-96.933221,census,yes
baker-tree-service,Baker Tree Service,Baker Tree Service,Tree trimming & stump grinding,"526 Campana Ct, Irving, TX 75061",(972) 986-7791,treetrimmingirvingtx.com,owned,James Baker. Address is published on the company's own site. Est. 1970; Irving Chamber member. Email bts2005@verizon.net.,32.818447,-96.952085,census,yes
efi-irrigation,EFI Irrigation,EFI - Environmentally Focused Irrigation,Sprinkler system repair & installation,"1605 W Seventh St, Irving, TX 75060",(918) 517-5028,efitexas.com,owned,Eddie Herrera. Address is published on the company's own site. CSV also lists 972-215-7644.,32.807914,-96.966633,census,yes
